"Ochric epipedon"|0|0|0|10|20|23|10|20|23|"23051677"|"13312581"
"Argillic horizon"|10|20|23|75|94|100|52|74|90|"23051677"|"13312580"
"Ochric epipedon"|1|2|4|18|32|53|18|30|53|"23051678"|"13312583"
"Argillic horizon"|18|32|53|200|200|200|147|168|182|"23051678"|"13312582"
"Aquic conditions"|50|100|150|200|200|200||100||"23051680"|"13312584"
"Ochric epipedon"|0|0|0|10|25|30|10|25|30|"23051681"|"13312585"
"Argillic horizon"|10|25|30|200|200|200|122|175|190|"23051681"|"13312586"
"Ochric epipedon"|0|0|0|10|25|28|10|25|28|"23051682"|"13312587"
"Argillic horizon"|10|25|28|58|91|122||66||"23051682"|"13312588"
"Cambic horizon"|25|66|66|112|147|180|46|81|155|"23051683"|"13312590"
"Ochric epipedon"|0|0|0|25|66|66|25|66|66|"23051683"|"13312589"
"Ochric epipedon"|0|0|0|18|41|45|18|41|41|"23051684"|"13312592"
"Argillic horizon"|18|41|41|43|119|145|2|78|101|"23051684"|"13312591"
"Aquic conditions"|0|15|25|200|200|200|175|185|185|"23051685"|"13312594"
"Ochric epipedon"|0|0|0|25|38|61||38||"23051685"|"13312595"
"Argillic horizon"|15|15|25|200|200|200|175|185|185|"23051685"|"13312593"
"Cambic horizon"|13|25|25|200|200|200|175|175|187|"23051686"|"13312597"
"Ochric epipedon"|0|0|0|13|25|25|13|25|25|"23051686"|"13312596"
"Ochric epipedon"|0|0|0|10|25|28|10|25|28|"23051687"|"13312598"
"Argillic horizon"|10|25|28|58|91|122|30|66|92|"23051687"|"13312599"
"Ochric epipedon"|0|0|0|10|20|23|10|20|23|"23051688"|"13312600"
"Argillic horizon"|10|20|23|75|94|100|43|74|90|"23051688"|"13312601"
"Ochric epipedon"|0|0|0|25|38|46||38||"23051689"|"13312602"
"Argillic horizon"|25|38|46|200|200|200||162||"23051689"|"13312603"
"Ochric epipedon"|0|0|0|13|32|53|13|32|53|"23051690"|"13312604"
"Argillic horizon"|13|32|53|200|200|200|147|168|187|"23051690"|"13312605"
"Strongly contrasting particle size class"|36|60|99|||||||"23051690"|"13312606"
"Fragipan"|36|43|76|69|104|137|0|61|105|"23051691"|"13312609"
"Ochric epipedon"|0|0|0|10|20|32|10|20|32|"23051691"|"13312607"
"Argillic horizon"|10|20|32|200|200|200|168|180|190|"23051691"|"13312608"
"Redox depletions with chroma 2 or less"|32|39|72|36|43|76||4||"23051691"|"13312610"
"Ochric epipedon"|1|2|4|18|32|53|14|30|52|"23051692"|"13312612"
"Argillic horizon"|18|32|53|200|200|200|147|168|182|"23051692"|"13312611"
"Ochric epipedon"|0|0|0|13|46|56||46||"23051693"|"13312613"
